Ligand,Ligand.CellType,Ligand.State,Ligand.CE,Receptor,Receptor.CellType,Receptor.State,Receptor.CE,Validating
A2M,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,ADCYAP1R1,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,SCTR,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,VIPR1,Epithelial cells,S02,CE6,TRUE
ADCYAP1,Fibroblasts,S02,CE6,VIPR2,Epithelial cells,S02,CE6,TRUE
AGT,Fibroblasts,S02,CE6,AGTR1,Epithelial cells,S02,CE6,TRUE
AGT,Fibroblasts,S02,CE6,LRP2,Epithelial cells,S02,CE6,TRUE
APOD,Fibroblasts,S02,CE6,LEPR,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,NGFR,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,NGFRAP1,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,NTRK2,Epithelial cells,S02,CE6,TRUE
BDNF,Fibroblasts,S02,CE6,SORT1,Epithelial cells,S02,CE6,TRUE
C3,Fibroblasts,S02,CE6,C5AR2,Epithelial cells,S02,CE6,TRUE
C3,Fibroblasts,S02,CE6,CD81,Epithelial cells,S02,CE6,TRUE
C3,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
C4A,Fibroblasts,S02,CE6,C5AR2,Epithelial cells,S02,CE6,TRUE
CNTN2,Fibroblasts,S02,CE6,CNTN1,Epithelial cells,S02,CE6,TRUE
CNTN2,Fibroblasts,S02,CE6,NRP1,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,FLT4,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL1A2,Fibroblasts,S02,CE6,ITGB3,Epithelial cells,S02,CE6,TRUE
COL3A1,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL3A1,Fibroblasts,S02,CE6,MAG,Epithelial cells,S02,CE6,TRUE
COL4A6,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL4A6,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL5A1,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL5A1,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL5A1,Fibroblasts,S02,CE6,SDC3,Epithelial cells,S02,CE6,TRUE
COL6A1,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL6A1,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL6A2,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL6A2,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
COL6A3,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
COL6A3,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
CTGF,Fibroblasts,S02,CE6,ERBB4,Epithelial cells,S02,CE6,TRUE
CTGF,Fibroblasts,S02,CE6,ITGA5,Epithelial cells,S02,CE6,TRUE
CTGF,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
CTGF,Fibroblasts,S02,CE6,LRP6,Epithelial cells,S02,CE6,TRUE
DCN,Fibroblasts,S02,CE6,EGFR,Epithelial cells,S02,CE6,TRUE
DCN,Fibroblasts,S02,CE6,ERBB4,Epithelial cells,S02,CE6,TRUE
DHH,Fibroblasts,S02,CE6,BOC,Epithelial cells,S02,CE6,TRUE
DHH,Fibroblasts,S02,CE6,CDON,Epithelial cells,S02,CE6,TRUE
DHH,Fibroblasts,S02,CE6,PTCH1,Epithelial cells,S02,CE6,TRUE
EFEMP1,Fibroblasts,S02,CE6,EGFR,Epithelial cells,S02,CE6,TRUE
F13A1,Fibroblasts,S02,CE6,ITGA9,Epithelial cells,S02,CE6,TRUE
F13A1,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
FAT4,Fibroblasts,S02,CE6,DCHS1,Epithelial cells,S02,CE6,TRUE
FBN1,Fibroblasts,S02,CE6,ITGA5,Epithelial cells,S02,CE6,TRUE
FBN1,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
FBN1,Fibroblasts,S02,CE6,ITGB3,Epithelial cells,S02,CE6,TRUE
FCN2,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
FGF7,Fibroblasts,S02,CE6,FGFR1,Epithelial cells,S02,CE6,TRUE
FGF7,Fibroblasts,S02,CE6,NRP1,Epithelial cells,S02,CE6,TRUE
GDF5,Fibroblasts,S02,CE6,ACVR2A,Epithelial cells,S02,CE6,TRUE
GDF5,Fibroblasts,S02,CE6,BMPR1A,Epithelial cells,S02,CE6,TRUE
GDF5,Fibroblasts,S02,CE6,BMPR1B,Epithelial cells,S02,CE6,TRUE
GDF5,Fibroblasts,S02,CE6,BMPR2,Epithelial cells,S02,CE6,TRUE
GDF5,Fibroblasts,S02,CE6,ROR2,Epithelial cells,S02,CE6,TRUE
GDF7,Fibroblasts,S02,CE6,ACVR2A,Epithelial cells,S02,CE6,TRUE
GDF7,Fibroblasts,S02,CE6,BMPR1A,Epithelial cells,S02,CE6,TRUE
GDF7,Fibroblasts,S02,CE6,BMPR2,Epithelial cells,S02,CE6,TRUE
GPC3,Fibroblasts,S02,CE6,CD81,Epithelial cells,S02,CE6,TRUE
HGF,Fibroblasts,S02,CE6,SDC2,Epithelial cells,S02,CE6,TRUE
LAMA2,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
LAMA2,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
LAMC3,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
MFAP5,Fibroblasts,S02,CE6,NOTCH1,Epithelial cells,S02,CE6,TRUE
MFGE8,Fibroblasts,S02,CE6,ITGB3,Epithelial cells,S02,CE6,TRUE
MMP2,Fibroblasts,S02,CE6,SDC2,Epithelial cells,S02,CE6,TRUE
NLGN3,Fibroblasts,S02,CE6,NRXN1,Epithelial cells,S02,CE6,TRUE
NLGN3,Fibroblasts,S02,CE6,NRXN2,Epithelial cells,S02,CE6,TRUE
NLGN3,Fibroblasts,S02,CE6,NRXN3,Epithelial cells,S02,CE6,TRUE
NRG2,Fibroblasts,S02,CE6,ERBB4,Epithelial cells,S02,CE6,TRUE
PTN,Fibroblasts,S02,CE6,PTPRB,Epithelial cells,S02,CE6,TRUE
PTN,Fibroblasts,S02,CE6,PTPRS,Epithelial cells,S02,CE6,TRUE
PTN,Fibroblasts,S02,CE6,SDC3,Epithelial cells,S02,CE6,TRUE
RIMS1,Fibroblasts,S02,CE6,CACNA1C,Epithelial cells,S02,CE6,TRUE
RIMS1,Fibroblasts,S02,CE6,SLC17A7,Epithelial cells,S02,CE6,TRUE
RSPO1,Fibroblasts,S02,CE6,FZD8,Epithelial cells,S02,CE6,TRUE
RSPO1,Fibroblasts,S02,CE6,LGR6,Epithelial cells,S02,CE6,TRUE
RSPO1,Fibroblasts,S02,CE6,LRP6,Epithelial cells,S02,CE6,TRUE
SEMA6D,Fibroblasts,S02,CE6,KDR,Epithelial cells,S02,CE6,TRUE
SERPINE1,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
SERPINE1,Fibroblasts,S02,CE6,LRP2,Epithelial cells,S02,CE6,TRUE
SERPING1,Fibroblasts,S02,CE6,LRP1,Epithelial cells,S02,CE6,TRUE
SLIT2,Fibroblasts,S02,CE6,ROBO1,Epithelial cells,S02,CE6,TRUE
SLIT2,Fibroblasts,S02,CE6,ROBO2,Epithelial cells,S02,CE6,TRUE
SLIT3,Fibroblasts,S02,CE6,ROBO2,Epithelial cells,S02,CE6,TRUE
SORBS1,Fibroblasts,S02,CE6,INSR,Epithelial cells,S02,CE6,TRUE
SORBS1,Fibroblasts,S02,CE6,ITGA1,Epithelial cells,S02,CE6,TRUE
TGFB2,Fibroblasts,S02,CE6,ENG,Epithelial cells,S02,CE6,TRUE
TGFB2,Fibroblasts,S02,CE6,TGFBR1,Epithelial cells,S02,CE6,TRUE
TGFB2,Fibroblasts,S02,CE6,TGFBR2,Epithelial cells,S02,CE6,TRUE
TGFB2,Fibroblasts,S02,CE6,TGFBR3,Epithelial cells,S02,CE6,TRUE
TGFB3,Fibroblasts,S02,CE6,ACVRL1,Epithelial cells,S02,CE6,TRUE
TGFB3,Fibroblasts,S02,CE6,ENG,Epithelial cells,S02,CE6,TRUE
TGFB3,Fibroblasts,S02,CE6,TGFBR1,Epithelial cells,S02,CE6,TRUE
TGFB3,Fibroblasts,S02,CE6,TGFBR2,Epithelial cells,S02,CE6,TRUE
TGFB3,Fibroblasts,S02,CE6,TGFBR3,Epithelial cells,S02,CE6,TRUE
TIMP1,Fibroblasts,S02,CE6,CD63,Epithelial cells,S02,CE6,TRUE
TIMP2,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
TIMP3,Fibroblasts,S02,CE6,KDR,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,CNTN1,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,EGFR,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,ITGA5,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,ITGA9,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,ITGB1,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,NT5E,Epithelial cells,S02,CE6,TRUE
TNC,Fibroblasts,S02,CE6,PTPRB,Epithelial cells,S02,CE6,TRUE
